object_id_final,name,county,island,classifica,citypark,sports,playground,home,park,harbor,manmade,sand,rock,surf,snork,lifeguard,parking,showers,restrooms,swim,trail,latitude,longitude,sand_type,mpa,beach_leng,res_fish_bio,PNAS,haleakala,molokini,Box_ID_2
0,Home,Hawaii,Hawaii,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Home,Honolulu,Oahu,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Home,Maui,Maui,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Home,Kauai,Kauai,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Home,Lanai,Lanai,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Home,Molokai,Molokai,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,49 Black Sand Beach (Honokaope Bay),Hawaii,Hawaii,Beach,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,19.93356023,-155.8802143,Black,HI27,101.435,14.77295325,18.041924,0,0,11
2,Akahu Kaimu,Hawaii,Hawaii,Bay,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,19.9036563,-155.901618,Rock,NMS9,317.125,17.55216156,29.0168266,0,0,11
3,Alahaka Bay (Puuhonua O Honaunau National Historical Park),Hawaii,Hawaii,Bay,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,19.4142258,-155.9066606,Rock,HI27,2232.331,28.91339173,19.35559116,0,0,18
4,Ali'i Saltwater Swimming Pool,Hawaii,Hawaii,NA,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,19.6262877,-155.99027,NA,NA,0,26.26646915,17.49881205,0,0,18
5,Alula Beach,Hawaii,Hawaii,Beach,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,19.66724,-156.028,Standard,NPS24,82.614,26.65584414,14.02039333,0,0,18
6,Anaehoomalu Bay,Hawaii,Hawaii,Bay,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,19.9149948,-155.8887434,Standard,HI27,1299.904,12.18688387,7.032602519,0,0,11
7,Awakee Bay,Hawaii,Hawaii,Bay,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,19.7964657,-156.0219312,Rock,HI27,600.192,12.75672213,20.54949355,0,0,11
8,Beans Beach,Hawaii,Hawaii,Beach,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,19.64764475,-156.0242725,Standard,HI24,279.773,44.06453995,14.79236594,0,0,18
9,Carlsmith Beach Park,Hawaii,Hawaii,NA,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,19.7337112,-155.0280856,NA,NA,434.59,0,15.76745909,0,0,4
10,Hakalau Beach Park,Hawaii,Hawaii,Bay,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,19.9007308,-155.1278543,Rock,NA,220.697,0,2.144878909,0,0,10
11,Hapuna Beach State Park,Hawaii,Hawaii,Park,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,19.99218,-155.826,Standard,NMS9,576.001,6.633712959,1.33144989,0,0,11
12,Hawaiian Shores Papio Park Cliff,Hawaii,Hawaii,Park,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,19.5585197,-154.885782,Rock,NA,340,26.46514738,12.87923783,0,0,4
13,Heeia Bay,Hawaii,Hawaii,Bay,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,19.5635913,-155.9655404,Rock,HI27,40.226,16.36743983,10.45203162,0,0,18
14,Hilo Bayfront Beach Park,Hawaii,Hawaii,Park,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,19.72327724,-155.0756167,Black,HI23,738.444,0,0,0,0,4
15,Hilo Harbor,Hawaii,Hawaii,Harbor,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,19.7326136,-155.0571728,Rock,HI23,1565.35,0,1.452069512,0,0,4
16,Holana Bay,Hawaii,Hawaii,Bay,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20.2380999,-155.8940649,Rock,NMS9,513.394,16.35795729,17.37915318,0,0,11
17,Holualoa Bay,Hawaii,Hawaii,Bay,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,19.6033773,-155.974896,Rock,HI27,192.714,11.08882219,8.506565788,0,0,18
18,Honokohau Bay Beach,Hawaii,Hawaii,Bay,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,19.6737872,-156.0278106,Standard,HI27,1091.527,6.044356594,13.76322413,0,0,18
19,Honokohau Small Boat Harbor,Hawaii,Hawaii,Harbor,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,19.6690996,-156.024195,Rock,HI27,0,0,5.715380851,0,0,18
20,Honolii Beach Park,Hawaii,Hawaii,Park,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,19.75531993,-155.0908242,Black,NA,426.086,0,2.680189693,0,0,4
21,Honomalino Beach,Hawaii,Hawaii,Bay,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,19.1722525,-155.9088278,Standard,HI27,199.937,18.74239479,12.07587234,0,0,18
22,Hookena Beach Park,Hawaii,Hawaii,Park,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,19.37936927,-155.897392,Gray,HI27,170.454,19.80826905,12.76693429,0,0,18
23,Hoolulu Cove,Hawaii,Hawaii,Bay,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,NA,NA,19.6390509,-155.9958172,Rock,HI29,338.568,18.21946413,10.58186776,0,0,18
24,Hoona Bay (Makako Bay),Hawaii,Hawaii,Bay,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,19.732149,-156.0569286,Standard,NMS9,97.474,33.10295574,19.03951412,0,0,18
25,James Kealoha Beach Park,Hawaii,Hawaii,Park,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,19.73488292,-155.0320901,Rock,NA,319.853,0,13.25210173,0,0,4
26,Kaelehuluhulu (Mahaiula Bay),Hawaii,Hawaii,Beach,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,19.78112,-156.042,Standard,HI27,1007.115,6.43578831,8.428705289,0,0,11
27,Kahaluu Beach Park,Hawaii,Hawaii,Park,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,19.57933454,-155.9665658,Black,HI27,314.709,7.760717792,5.685287064,0,0,18
28,Kahakai Park,Hawaii,Hawaii,NA,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,19.5607831,-154.8886603,NA,NA,129.756,24.09315361,14.11399186,0,0,4
